gene	tree	count
KCNK6	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
ALAS2	transferase|transaminase	1
ALAS1	transferase|transaminase	2
KCNK9	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
ITGB3	extracellular matrix protein|extracellular matrix glycoprotein	8
ITGB2	extracellular matrix protein|extracellular matrix glycoprotein	1
HTR2B	receptor|G-protein coupled receptor	70
HTR2C	receptor|G-protein coupled receptor	90
HTR2A	receptor|G-protein coupled receptor	126
ITGAL	extracellular matrix protein|extracellular matrix glycoprotein	1
RLBP1	oxidoreductase|dehydrogenase	1
ALAD	lyase|dehydratase	1
SPR	oxidoreductase|dehydrogenase	1
ITGAV	extracellular matrix protein|extracellular matrix glycoprotein	3
ITGB7	extracellular matrix protein|extracellular matrix glycoprotein	1
ACP1	hydrolase|phosphatase|protein phosphatase	1
MBL2	defense/immunity protein	1
ACTR3	cytoskeletal protein|actin family cytoskeletal protein|actin and actin related protein	1
SLC36A1	transporter|amino acid transporter	6
ACTR2	cytoskeletal protein|actin family cytoskeletal protein|actin and actin related protein	1
GRID2	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	1
SLC36A2	transporter|amino acid transporter	1
APAF1	other	1
GNRHR2	receptor|G-protein coupled receptor	1
ITGA4	extracellular matrix protein|extracellular matrix glycoprotein	3
GRID1	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	1
DHPS	transferase|transaminase	2
HTR3A	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	61
HTR3B	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	23
ADORA2A	receptor|G-protein coupled receptor	32
PCCA	ligase	1
RRM2B	oxidoreductase|reductase	4
ADORA2B	receptor|G-protein coupled receptor	24
PCCB	ligase	2
ITGA5	extracellular matrix protein|extracellular matrix glycoprotein	1
TOP1	nucleic acid binding|DNA binding protein|DNA topoisomerase	13
AGXT	transferase|transaminase	3
BCAT1	transferase|transaminase	4
GAPDH	oxidoreductase|dehydrogenase	1
BCAT2	transferase|transaminase	3
PRKAA1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	4
CANT1	hydrolase|phosphatase|nucleotide phosphatase	1
PRKAA2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
ROCK1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	15
C1R	hydrolase|protease|serine protease	1
ROCK2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	7
SRC	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	18
SLC5A11	transporter|carbohydrate transporter	1
MALT1	hydrolase|protease|cysteine protease	1
CDC42	enzyme modulator|G-protein|small GTPase	1
SRR	lyase|dehydratase	1
FYN	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	2
EIF4E	nucleic acid binding|RNA binding protein|translation factor|translation initiation factor	2
KCNJ1	transporter|ion channel|potassium channel|voltage-gated potassium channel	8
KCNJ3	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNJ4	transporter|ion channel|potassium channel|voltage-gated potassium channel	5
NTRK1	transferase|kinase|protein kinase|receptor tyrosine protein kinase	11
KCNJ5	transporter|ion channel|potassium channel|voltage-gated potassium channel	3
NTRK2	transferase|kinase|protein kinase|receptor tyrosine protein kinase	2
KCNJ6	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
KCNJ8	transporter|ion channel|potassium channel|voltage-gated potassium channel	13
HTR5A	receptor|G-protein coupled receptor	22
HCRTR2	receptor|G-protein coupled receptor	5
HCRTR1	receptor|G-protein coupled receptor	4
GSTZ1	nucleic acid binding|RNA binding protein|translation factor|translation elongation factor	1
NAGK	transferase|kinase|glucosamine kinase	1
SUCLA2	ligase|Succinyl-CoA Synthetase	1
SST	signaling molecule|peptide hormone	1
KCNK1	transporter|ion channel|potassium channel|voltage-gated potassium channel	2
KCNK2	transporter|ion channel|potassium channel|voltage-gated potassium channel	8
KCNK3	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
KCNK4	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
SLC23A2	transporter	1
SLC23A1	transporter	2
NUDT1	transferase|phosphorylase	1
ACTB	cytoskeletal protein|actin family cytoskeletal protein|actin and actin related protein	1
ICAM1	cell adhesion molecule|immunoglobulin superfamily cell adhesion molecule	2
ANPEP	hydrolase|protease|metalloprotease	3
PPAT	transferase	3
KDR	transferase|kinase|protein kinase|receptor tyrosine protein kinase	52
TNFSF11	signaling molecule|cytokine|tumor necrosis factor family member	1
EIF2A	nucleic acid binding|RNA binding protein|translation factor|translation initiation factor	1
